id,province, city, name, score, comment_number, good_comment, month_sales, avg_price, customePrice, category, delivery_time, min_price,shipping_fee, lat, lng, hours, pushNum, receiveNum, position, platform, tagType, battleGroup, complainNum
6322931,湖北省,十堰市,0,4.4,416,150,月售218,人均 ?28,72.14963094388438,快餐,52分钟,起送 ?20,配送 ?3,32.228175,110.225616,"00:00-02:00,09:00-23:59",100,65,商圈2,饿了吗,骑手特快,战团3,416
3076543,广西壮族自治区,南宁市,1,4.8,146,74,月售154,人均 ?54,69.24050252219881,特色菜系,30分钟,起送 ?20,配送 ?3,22.814609,108.313972,11:00-21:30,80,62,商圈8,美团,专送KA,战团2,146
8493201,广东省,东莞市,2,0.0,6,5,月售1,nan,86.33260044776037,超市便利,45分钟,起送 ?20,配送 ?6,23.152139,113.689157,10:00-21:45,94,75,商圈8,糯米,众包平台,战团5,6
6512625,甘肃省,定西市,3,4.7,1987,382,月售5271,人均 ?28,75.99556513447415,快餐,30分钟,起送 ?20,配送 ?2,35.582796,104.617487,07:00-22:30,95,70,商圈7,美团,众包平台,战团4,1987
8243187,江苏省,宿迁市,4,0.0,19,11,月售100+,nan,85.83267252884174,生鲜果蔬,40分钟,起送 ?20,免配送费,34.027109,118.253474,07:00-19:10,94,80,商圈6,美团,专送KA,战团4,19
7995713,甘肃省,定西市,5,0.0,20,15,月售32,nan,122.76111898321247,快餐,30分钟,起送 ?10,配送 ?4,35.13288,104.212697,07:00-23:59,107,63,商圈2,美团,骑手特快,战团3,20
8282106,天津市,天津市,6,4.9,225,191,月售2021,人均 ?20,97.19536165853506,快餐,30分钟,起送 ?15,免配送费,38.989377,117.38991,08:00-23:59,95,62,商圈7,饿了吗,众包平台,战团1,225
2487416,江苏省,苏州市,7,4.7,693,71,月售100+,人均 ?66,93.53303289755272,快餐,50分钟,起送 ?50,配送 ?5,31.373326,120.60855,09:00-23:59,94,66,商圈3,美团,专送KA,战团4,693
6133081,安徽省,宣城市,8,0.0,220,71,月售46,nan,99.06189133102875,网红小吃,30分钟,起送 ?6,配送 ?4,30.936241,118.738465,10:45-21:15,94,77,商圈3,饿了吗,众包,战团1,220
4065370,河北省,石家庄市,9,0.0,17,15,月售100+,nan,61.16116659308629,送药上门,68分钟,起送 ?15,高峰配送 ?6,38.103462,114.454538,09:00-18:30,121,75,商圈3,美团,极速达,战团1,17
7290650,上海市,上海市,10,0.0,112,95,月售200+,人均 ?49,56.545454911979654,快餐,32分钟,起送 ?20,夜间配送 ?7.5,31.898365,121.191459,"00:00-01:59,16:10-23:59",102,71,商圈4,饿了吗,众包,战团3,112
7737111,江苏省,盐城市,11,0.0,3,0,月售0,nan,119.6888960500706,超市便利,64分钟,起送 ?20,免配送费,33.515936,119.888045,07:00-23:00,97,52,商圈2,糯米,极速达,战团3,3
9684222,山东省,菏泽市,12,0.0,5,5,月售15,nan,99.08386079986202,生鲜果蔬,34分钟,起送 ?15,配送 ?4,35.518051,115.560342,08:00-20:30,106,65,商圈3,糯米,众包,战团1,5
4636541,浙江省,台州市,13,0.0,9,8,月售1,nan,,快餐,45分钟,起送 ?45,配送 ?3,28.67979,121.43856,16:10-23:59,108,73,商圈3,饿了吗,众包平台,战团1,9
1110099,江西省,南昌市,14,0.0,39,8,月售87,人均 ?53,61.57078774623688,甜点饮品,30分钟,起送 ?20,免配送费,28.679993,115.899321,08:00-20:00,103,76,商圈3,美团,专送KA,战团2,39
788571,江苏省,常州市,15,4.9,1216,775,月售1544,人均 ?73,35.520958038640444,甜蜜蛋糕,60分钟,起送 ?0,免配送费,31.760784,119.971325,06:00-23:59,101,65,商圈2,糯米,专送KA,战团1,1216
9736601,四川省,广安市,16,4.6,22,18,月售848,人均 ?12,120.9620086717216,甜点饮品,30分钟,起送 ?20,免配送费,30.45434,106.631565,07:20-22:10,114,74,商圈5,饿了吗,专送KA,战团5,22
5623738,湖北省,十堰市,17,0.0,3,3,月售5,nan,108.36568736164791,快餐,44分钟,起送 ?15,配送 ?4,32.315902,109.709541,"09:00-14:30,16:00-20:40",103,80,商圈4,饿了吗,众包平台,战团1,3
5777589,广西壮族自治区,南宁市,18,0.0,54,52,月售29,nan,61.903180509123075,特色菜系,30分钟,起送 ?10,配送 ?3,23.173789,107.691627,08:00-19:00,92,83,商圈2,美团,众包平台,战团2,54
8341219,江苏省,南京市,19,4.7,9,0,月售341,人均 ?27,117.53404801156287,小吃夜宵,40分钟,起送 ?20,免配送费,32.326935,118.930501,"09:00-13:30,15:40-21:00",102,64,商圈4,美团,众包,战团1,9
8417885,江苏省,盐城市,20,4.6,392,286,月售431,人均 ?15,110.99014506904194,特色菜系,44分钟,起送 ?20,配送 ?3,33.76999,120.26509,06:00-20:30,86,65,商圈3,美团,专送,战团2,392
1431253,河北省,石家庄市,21,4.8,3841,1479,月售2000+,人均 ?15,100.92082652204088,快餐,40分钟,起送 ?15,配送 ?0.5,37.76185,114.776396,07:00-21:45,101,83,商圈4,糯米,骑手特快,战团1,3841
9539650,浙江省,宁波市,22,4.4,63,25,月售99,人均 ?21,112.76977706563392,特色菜系,30分钟,起送 ?20,夜间配送 ?4.5,29.758052,121.456682,10:30-23:59,102,54,商圈3,美团,众包,战团4,63
2008241,江西省,南昌市,23,4.6,1180,865,月售1000+,人均 ?17,70.6541804838616,快餐,42分钟,起送 ?20,配送 ?1.5,28.690419,115.876804,09:00-23:59,103,78,商圈4,美团,众包,战团1,1180
7446599,江西省,南昌市,24,4.8,38,23,月售1000+,人均 ?21,89.96934086365756,快餐,51分钟,起送 ?20,免配送费,28.700795,115.859297,"11:30-14:00,17:30-21:00",98,80,商圈6,美团,专送KA,战团3,38
1543011,江苏省,宿迁市,25,4.5,496,89,月售811,人均 ?19,97.57675043253803,特色菜系,30分钟,起送 ?15,免配送费,33.706336,118.680007,"00:00-01:10,09:00-23:59",100,63,商圈2,美团,众包,战团1,496
